Nose_x0,Nose_y0,Neck_x1,Neck_y1,RShoulder_x2,RShoulder_y2,Relbow_x3,RElbow_y3,RWrist_x4,RWrist_y4,LShoulder_x5,LShoulder_y5,LElbow_x6,LElbow_y6,LWrist_x7,LWrist_y7,RHip_x8,RHip_y8,RKnee_x9,RKnee_y9,RAnkle_x10,RAnkle_y10,LHip_x11,LHip_y11,LKnee_x12,LKnee_y12,LAnkle_x13,LAnkle_y13,REye_x14,REye_y14,LEye_x15,LEye_y15,REar_x16,REar_y16,LEar_x17,LEar_y17,action
90,39,90,42,84,42,79,38,77,33,96,42,101,38,104,33,85,61,85,74,86,87,93,61,91,75,90,86,90,38,91,38,88,37,93,38,handwaving
84,18,90,25,81,22,70,18,61,13,96,28,98,45,89,35,79,48,90,91,87,104,92,55,97,92,99,96,84,16,86,16,0,0,91,16,boxing
87,31,88,40,82,40,80,50,84,52,94,40,95,48,90,50,84,62,84,79,85,98,92,59,90,79,91,98,86,30,88,29,84,31,90,31,handclapping
82,36,82,42,75,41,67,37,69,31,88,41,97,37,93,31,77,59,78,72,76,83,85,59,85,74,87,86,81,35,83,35,79,35,84,35,handwaving
89,29,88,35,80,35,73,44,67,52,95,35,103,44,110,50,83,58,92,76,91,88,90,59,81,74,81,87,87,27,90,27,84,27,92,27,handwaving
0,0,94,7,87,6,83,15,81,23,101,8,106,22,108,31,90,30,93,42,101,52,96,31,93,42,86,63,0,0,0,0,0,0,0,0,walking
84,32,76,40,75,41,70,53,74,67,78,40,79,54,80,68,73,67,70,83,56,96,79,67,84,81,84,99,83,30,84,30,78,31,0,0,walking
111,10,116,20,114,20,0,0,0,0,114,21,96,19,92,16,115,42,0,0,0,0,116,42,115,52,0,0,0,0,112,8,0,0,114,10,boxing
89,37,89,45,81,45,79,56,90,56,96,45,100,55,92,55,84,67,83,82,83,95,92,67,89,82,87,95,88,36,90,36,86,37,93,37,handclapping
0,0,33,40,35,42,33,48,30,54,30,38,0,0,0,0,27,56,32,67,33,81,21,55,23,68,10,78,0,0,0,0,38,37,0,0,running
28,21,19,31,16,31,16,44,22,59,23,30,24,43,26,57,18,60,16,81,13,99,24,59,30,76,29,95,26,19,0,0,20,20,0,0,walking
83,25,83,36,76,36,71,49,66,61,90,36,94,48,99,57,78,62,78,84,78,102,88,62,84,84,84,102,81,23,84,23,79,25,86,25,handclapping
56,16,65,25,62,24,59,38,0,0,67,26,71,38,72,50,59,58,55,76,56,98,67,59,71,82,73,102,0,0,57,14,0,0,62,15,walking
118,24,125,33,122,32,118,46,0,0,128,34,123,47,121,53,119,60,116,77,113,95,124,61,125,78,139,95,0,0,119,22,0,0,124,23,walking
81,31,81,38,74,38,71,49,68,58,88,38,91,49,96,58,76,61,76,78,73,92,87,61,86,78,87,91,81,30,84,30,79,30,86,31,handwaving
103,29,103,35,96,35,87,40,81,44,109,35,117,42,122,44,99,56,98,72,97,86,107,57,106,72,106,87,102,27,104,27,100,28,107,28,handwaving
0,0,94,31,99,29,0,0,0,0,90,32,75,33,68,30,101,57,93,75,89,90,96,59,95,75,90,91,0,0,0,0,0,0,89,23,boxing
0,0,91,29,93,28,0,0,0,0,91,29,93,47,0,0,87,55,95,76,98,95,91,56,95,77,99,97,0,0,0,0,0,0,90,20,walking
91,34,90,40,84,40,81,49,82,55,95,40,98,48,98,52,86,59,84,72,84,82,92,58,93,72,91,82,90,33,92,33,87,33,93,33,handclapping
6,25,4,33,0,0,0,0,0,0,13,33,19,50,0,0,0,0,0,0,0,0,7,64,4,78,4,97,4,23,7,23,3,23,9,25,walking
92,24,91,34,83,33,77,46,68,53,99,34,105,48,115,57,86,61,87,79,87,98,96,61,93,80,92,99,90,23,93,23,87,23,95,24,handclapping
78,22,87,32,84,31,0,0,0,0,88,33,88,51,79,48,86,59,84,85,102,98,89,60,89,67,0,0,0,0,80,20,0,0,86,22,running
81,25,83,33,74,33,73,47,81,51,91,31,96,45,92,51,79,58,79,80,79,94,90,59,90,80,90,95,80,23,83,23,78,24,85,23,handclapping
92,34,94,37,85,33,77,30,69,21,101,37,110,31,117,22,87,55,85,81,82,102,99,55,97,86,96,104,90,33,93,32,89,30,96,31,handwaving
91,31,91,35,82,33,73,25,68,19,99,35,109,29,116,23,83,62,85,82,86,99,95,61,95,82,95,100,90,29,93,29,87,27,96,29,handwaving
80,25,81,34,71,33,68,44,75,47,90,35,90,47,81,46,74,57,73,77,69,93,85,58,85,76,88,94,79,23,81,23,76,23,84,24,handclapping
101,29,100,33,93,33,82,32,79,25,106,34,117,33,121,27,94,55,94,78,93,95,104,56,103,78,103,95,100,28,103,28,98,27,104,28,handwaving
90,38,82,50,77,47,0,0,0,0,84,54,0,0,0,0,87,61,96,76,99,97,87,62,96,76,98,97,87,35,93,36,81,35,0,0,running
101,26,101,35,95,34,85,38,84,33,108,35,114,44,121,49,96,55,95,71,94,85,104,55,105,72,105,87,100,25,102,25,99,26,104,26,handclapping
0,0,34,26,38,27,39,35,35,40,30,25,22,30,24,29,32,42,34,51,33,62,26,40,27,54,21,70,0,0,0,0,38,22,33,20,running
88,24,88,31,81,31,76,37,74,40,95,31,99,38,98,41,82,57,81,76,81,89,91,57,93,76,93,88,87,23,89,23,84,23,92,23,handclapping
93,36,93,42,85,40,77,36,73,30,99,41,108,37,115,31,88,65,88,80,89,95,96,65,96,80,96,94,92,34,95,35,90,35,96,35,handwaving
