X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,XAVG,YAVG,ZAVG,XPEAK,YPEAK,ZPEAK,XABSOLDEV,YABSOLDEV,ZABSOLDEV,XSTANDDEV,YSTANDDEV,ZSTANDDEV,RESULTANT,class
0.08,0.1,0.09,0.11,0.09,0.14,0.16,0.07,0.08,0.1,0.09,0.11,0.08,0.07,0.12,0.12,0.13,0.12,0.1,0.07,0.08,0.09,0.09,0.14,0.1,0.1,0.08,0.14,0.1,0.09,0,2.61,-0.5,1425,738.89,1300,9.21,1.9,1.67,10.06,2.58,10.06,10.26,Upstairs
0.27,0.17,0.23,0.07,0.08,0.06,0.06,0.08,0.02,0,0.12,0.08,0.06,0.16,0.13,0.14,0.08,0.07,0.12,0.03,0.12,0.11,0.12,0.08,0.07,0.12,0.11,0.12,0.08,0.1,0,7.53,-1.26,3625,490,1208.33,9.78,6.3,5.32,11.37,7.75,11.37,15.59,Jogging
0.08,0.12,0.09,0.09,0.12,0.1,0.12,0.1,0.08,0.1,0.13,0.09,0.08,0.09,0.14,0.09,0.12,0.06,0.08,0.13,0.03,0.06,0.12,0.15,0.19,0.17,0.1,0.08,0.07,0.04,0,8.19,1.37,3175,300,2975,5.22,3.63,0.99,6.2,4.65,6.2,9.99,Downstairs
0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.06,0.07,0,0.07,0.07,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0,0.07,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.06,0,0,6.31,0.47,625,300,1016.67,1.08,2.76,1,2.14,5.06,2.14,6.62,Downstairs
0.07,0.08,0.09,0.12,0.08,0.09,0.13,0.11,0.08,0.17,0.13,0.12,0.06,0.13,0.07,0.09,0.12,0.08,0.1,0.12,0.14,0.14,0.06,0.07,0.12,0.08,0.08,0.09,0.11,0.13,0,9,1.57,1650,1044.44,4250,3.75,3.89,2.63,4.53,4.67,4.53,10.7,Walking
0.09,0.08,0.11,0.11,0.1,0.1,0.09,0.11,0.14,0.05,0.08,0.11,0.11,0.1,0.12,0.05,0.13,0.13,0.08,0,0.08,0.15,0.11,0.09,0.1,0.11,0.1,0.1,0.09,0.1,0,8.17,-0.47,544.12,519.44,1625,10.72,8.02,3.76,12.42,8.62,12.42,16.35,Jogging
0.22,0.15,0.15,0,0.19,0,0.18,0.06,0.05,0.02,0.03,0,0,0,0.15,0,0,0,0.5,0.29,0.32,0.14,0.17,0.15,0,0.05,0,0.03,0.04,0.11,0,9.89,1.35,1033.33,322.41,600,0.1,0.02,0.09,0.13,0.04,0.13,9.99,Standing
0.09,0.11,0.08,0.11,0.12,0.12,0.09,0.12,0.09,0.1,0.15,0.08,0.07,0.08,0.13,0.1,0.14,0.08,0.07,0.1,0.1,0.08,0.1,0.12,0.11,0.11,0.09,0.12,0.15,0.05,0,10.83,-0.57,4325,487.5,1375,4.03,3.95,2.15,4.87,4.88,4.87,12.32,Walking
0.08,0.13,0.11,0.13,0.09,0.1,0.11,0.1,0.07,0.11,0.08,0.13,0.11,0.07,0.06,0.13,0.14,0.08,0.13,0.09,0.11,0.12,0.16,0.09,0.09,0.08,0.1,0.08,0.08,0.12,0,10.62,-0.4,2350,668.18,2100,3.77,4.05,4.44,4.46,4.8,4.46,12.89,Walking
0.1,0.07,0.12,0.09,0.12,0.13,0.09,0.09,0.09,0,0.13,0.11,0.07,0.11,0.06,0.12,0.11,0.09,0.11,0,0.12,0.1,0.06,0.14,0.09,0.08,0.13,0.11,0.09,0,0,9.84,-0.52,1050,667.86,2083.33,3.85,4.74,2.34,5,5.51,5,11.59,Walking
0.1,0.08,0.08,0.09,0.1,0.09,0.11,0.12,0.11,0.13,0.07,0.11,0.09,0.12,0.08,0.14,0.09,0.13,0.1,0.09,0.07,0.13,0.09,0.12,0.11,0.1,0.1,0.12,0.09,0.1,0,10.03,-1.9,4000,1300,1850,2.33,3.33,1.94,3.19,4.24,3.19,11.03,Upstairs
0.21,0.17,0.19,0.15,0.09,0.04,0.07,0.03,0.05,0.02,0.1,0.08,0.09,0.05,0.08,0.11,0.1,0.15,0.14,0.12,0.11,0.09,0.07,0.1,0.13,0.12,0.09,0.08,0.14,0.09,0,10.09,-0.36,1050,855.56,3675,2.82,3.68,2.74,3.83,4.44,3.83,11.32,Walking
0,0.08,0.12,0.13,0.21,0.16,0.18,0.1,0.04,0,0,0.02,0.17,0.15,0.14,0.16,0.13,0.17,0.07,0,0.03,0.05,0.14,0.09,0.26,0.19,0.1,0.03,0.04,0.09,0,9.38,1.01,1800,1168.75,1550,3.37,3.39,2.42,4.1,4.04,4.1,10.78,Jogging
0.15,0.08,0.12,0.14,0.08,0.11,0.05,0.1,0.09,0.11,0.07,0.06,0.1,0.07,0.13,0.1,0.13,0.13,0.14,0.08,0.06,0.1,0.13,0.11,0.1,0.13,0.12,0.13,0.08,0.06,0,9.47,1.13,475,696.15,3775,3.16,4.06,2.93,4.31,4.93,4.31,11.13,Downstairs
0,0.2,0.09,0.08,0.13,0.13,0.1,0.09,0.12,0.09,0.14,0.1,0.09,0.1,0.08,0.09,0.13,0.11,0.1,0.08,0.08,0.09,0.1,0.14,0.11,0.09,0.12,0.09,0.1,0.11,0,3.32,-0.39,1050,1316.67,2725,10.33,5.64,5.44,11.95,6.75,11.95,14.69,Jogging
0.11,0.13,0.11,0.06,0.09,0.08,0.11,0.12,0.11,0.11,0.13,0.1,0.09,0.09,0.11,0.08,0.11,0.08,0.12,0.11,0.15,0.1,0.07,0.1,0.1,0.09,0.1,0.11,0.1,0.1,0,10.11,0.24,3200,804.17,3200,2.26,4.21,3.47,2.9,5.09,2.9,11.59,Walking
0.07,0.06,0.1,0.1,0.13,0.09,0.13,0.1,0.13,0.11,0.08,0.11,0.12,0.13,0.12,0.13,0.08,0.08,0.09,0.07,0.05,0.13,0.12,0.19,0.11,0.07,0.07,0.07,0.11,0.1,0,6.54,-0.04,2075,2450,2083.33,7.36,2.54,2.1,8.86,3.31,8.86,10.84,Walking
0.1,0.13,0.14,0.1,0.07,0.12,0.09,0.09,0.12,0.05,0.07,0.11,0.08,0.1,0.13,0.11,0.17,0.07,0.09,0.1,0.02,0.09,0.13,0.14,0.11,0.13,0.12,0.12,0.06,0.1,0,-1.64,-0.52,2325,2300,2400,7.5,5.31,4.2,9.7,6.9,9.7,11.2,Jogging
0.04,0.08,0.14,0.03,0.05,0.16,0.15,0.12,0.14,0.02,0.1,0.06,0.08,0.06,0.14,0.13,0.07,0.11,0.14,0.06,0.1,0.11,0.11,0.09,0.12,0.08,0.15,0.07,0.09,0.09,0,7.68,-0.98,374,388,2133.33,10.95,8.2,4.06,12.79,9.52,12.79,16.71,Jogging
0.21,0.16,0.14,0.19,0.09,0.1,0.08,0.04,0.01,0.01,0.11,0.05,0.07,0.1,0.13,0.08,0.13,0.1,0.15,0.12,0.12,0.15,0.1,0.08,0.05,0.09,0.13,0.13,0.06,0.12,0,9.99,-0.23,3350,1171.43,1475,2.45,3.58,2.98,3.15,4.29,3.15,11.2,Walking
0.08,0.12,0.1,0.1,0.12,0.09,0.06,0.14,0.12,0.09,0.09,0.14,0.09,0.06,0.13,0.12,0.11,0.07,0.12,0.09,0.09,0.11,0.08,0.12,0.11,0.13,0.1,0.11,0.06,0.12,0,10,-1.33,1100,676.92,2175,4.38,3.8,2.75,5.55,4.81,5.55,12.15,Walking
0.12,0.07,0.1,0.12,0.08,0.09,0.13,0.1,0.11,0.01,0.07,0.08,0.13,0.1,0.13,0.16,0.1,0.11,0.09,0.04,0.06,0.14,0.12,0.1,0.12,0.07,0.11,0.09,0.11,0.1,0,3.4,-1.9,447.62,825,2516.67,9.23,5.57,5.08,11.62,6.94,11.62,13.39,Jogging
